Stimulus,Subset,ComposerSurname,ComposerName,Year,Work,Movement_Act_RehearsalNumber,Instrument,Instrumentation,Genre_Type,Pole,Notes,Melody,Tempo,TimeSignature,Mode,MinPitch(MIDI),MaxPitch(MIDI),PitchRange(MIDI distance),Duration(s)
B1,B,Bartók,B.,1938,Contrasts Sz. 111 BB 116,,Vl.,Chamber,Rhapsody,Balanced,,B1,100,4/4,-,60,73,13,3.60
B2,B,Bartók,B.,1938,Contrasts Sz. 111 BB 117,,Cl.,Chamber,Rhapsody,Unbalanced,,B2,96,4/4,-,69,76,7,2.19
B3,B,Bitsch,M.,1948,Concertino,,Fg.,Solo–Orchestra,Concertino,Balanced,,B3,120,4/4,-,52,66,14,3.50
B4,B,Bitsch,M.,1948,Concertino,,Fg.,Solo–Orchestra,Concertino,Unbalanced,,B4,100,4/4,-,45,71,26,5.10
B5,B,Czerny,C.,1829,Fantasia à quatre mains Op. 226,,Pn. 1,Chamber,Fantasia,Balanced,,B5,80,4/4,F-m,64,68,4,1.41
B6,B,Czerny,C.,1829,Fantasia à quatre mains Op0. 226,,Pn. 1,Chamber,Fantasia,Unbalanced,,B6,160,4/4,F-m,56,65,9,1.50
B7,B,Debussy,C.,1904,Rhapsodie pour Orchestre et Saxophone,,Vl.,Solo–Orchestra,Rhapsody,Balanced,,B7,120,2/4,-,74,80,6,4.00
B8,B,Debussy,C.,1904,Rhapsodie pour Orchestre et Saxophone,,Vl.,Solo–Orchestra,Rhapsody,Unbalanced,,B8,90,6/8,-,68,80,12,4.00
B9,B,Dutilleux,H.,1942,Sarabande et Cortège,,Fg.,Chamber,Saraband,Balanced,,B9,80,3/4,-,65,69,4,2.63
B10,B,Dutilleux,H.,1942,Sarabande et Cortège,,Fg.,Chamber,Saraband,Unbalanced,,B10,60,3/4,-,55,70,15,3.00
B11,B,Frescobaldi,G.,ca. 1637,Toccata,,Gt. 1,Solo,Toccata,Balanced,,B11,80,4/4,C-M,81,88,7,3.00
B12,B,Frescobaldi,G.,ca. 1637,Toccata,,Gt. 1,Solo,Toccata,Unbalanced,,B12,80,4/4,C-M,81,86,5,3.00
B13,B,Klughardt,A.,1902,Andante und Toccata Op. 91,,Organ,Solo,Andante,Balanced,,B13,80,3/4,F-M,53,65,12,4.88
B14,B,Klughardt,A.,1902,Andante und Toccata Op. 92,,Organ,Solo,Andante,Unbalanced,,B14,80,3/4,F-m,70,82,12,4.88
B15,B,Monteverdi,C.,1638,Madrigali Guerrieri et Amorosi in genere rappresentativo,,Voice,Choir,Madrigal,Balanced,,B15,160,3/1,G-M,66,71,5,5.06
B16,B,Monteverdi,C.,1638,Madrigali Guerrieri et Amorosi in genere rappresentativo,,Voice,Choir,Madrigal,Unbalanced,,B16,160,4/4,A-m,69,76,7,5.06
B17,B,Rossini,G.,1829,Fantaisie,,Cl.,Chamber,Fantasia,Balanced,,B17,60,6/8,Eb-M,39,58,19,2.33
B18,B,Rossini,G.,1829,Fantaisie,,Cl.,Chamber,Fantasia,Unbalanced,,B18,60,6/8,Eb-M,51,79,28,2.33
B19,B,Strauss,R.,1903,Salome,7,Vl. 1,Opera,Opera,Balanced,,B19,80,3/2,-,55,69,14,6.00
B20,B,Strauss,R.,1903,Salome,9,Ob.,Opera,Opera,Unbalanced,,B20,80,4/4,-,60,81,21,5.25
